Sl No.,Date,Startup Name,Industry Category,Sub-Category,City  Location,Investors Name,Investment Type,Amount in USD,Remarks
1,9/1/2020,BYJU’S,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Funding,"20,00,00,000",N/A
2,1/13/2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,"80,48,394",N/A
3,9/1/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,"1,83,58,860",N/A
4,2/1/2020,Wealth Bucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,"30,00,000",N/A
5,2/1/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,"18,00,000",N/A
6,1/13/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",N/A
7,10/1/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Funding,"15,00,00,000",N/A
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",N/A
9,6/12/2019,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,"7,00,00,000",N/A
10,3/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed Funding,"5,00,00,000",N/A
11,12/13/2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",N/A
12,12/17/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",N/A
13,12/16/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,"3,00,00,000",N/A
14,12/16/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,N/A,Debt Funding,"59,00,000",N/A
15,12/14/2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Funding,"20,00,000",N/A
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,"5,00,00,000",N/A
17,12/20/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",N/A
18,11/13/2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",N/A
19,11/14/2019,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",N/A
20,11/13/2019,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,"15,00,000",N/A
21,11/17/2019,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,,N/A
22,11/18/2019,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,"1,20,00,000",N/A
23,11/15/2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,"2,60,00,000",N/A
24,11/20/2019,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,"1,74,11,265",N/A
25,12/11/2019,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,"13,00,000",N/A
26,11/20/2019,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,"13,50,00,000",N/A
27,11/11/2019,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,"3,00,000",N/A
28,11/19/2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,"22,00,00,000",N/A
29,11/18/2019,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,"1,58,00,000",N/A
30,11/15/2019,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,"28,30,00,000",N/A
31,11/19/2019,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,N/A,"20,00,00,000",N/A
32,11/25/2019,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,"1,00,00,00,000",N/A
33,4/10/2019,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,"4,50,00,000",N/A
34,2/10/2019,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,"58,50,00,000",N/A
35,10/21/2019,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,,N/A
36,5/9/2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"45,00,000",N/A
37,4/9/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"33,00,000",N/A
38,4/9/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Funding,"60,00,000",N/A
39,4/9/2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,"50,00,000",N/A
40,4/9/2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"1,80,00,000",N/A
41,4/9/2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed Funding,"10,00,000",N/A
42,4/9/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"1,00,00,000",N/A
43,4/9/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"45,00,00,000",N/A
44,3/9/2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,"50,00,000",N/A
45,1/8/2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,"2,00,00,000",N/A
46,1/8/2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,"50,00,000",N/A
47,1/8/2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,N/A,Seed Funding,"16,00,000",N/A
48,1/8/2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"14,00,00,000",N/A
49,1/8/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"3,80,80,000",N/A
50,12/8/2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"12,50,00,000",N/A
51,8/13/2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"1,10,00,000",N/A
52,8/13/2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"5,10,00,000",N/A
53,8/23/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"3,70,00,000",N/A
54,8/23/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Funding,"5,00,000",N/A
55,8/23/2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"11,00,00,000",N/A
56,8/22/2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture ,"1,50,00,000",N/A
57,8/21/2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,"65,90,000",N/A
58,8/23/2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Funding,"10,00,000",N/A
59,8/19/2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,,N/A
60,8/19/2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,"7,00,00,000",N/A
61,8/27/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,90,00,00,000",N/A
62,2/7/2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"1,90,00,000",N/A
63,2/7/2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,"25,00,000",N/A
64,1/7/2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel Funding,"1,45,000",N/A
65,3/7/2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"10,00,000",N/A
66,1/7/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"3,80,80,000",N/A
67,4/7/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Funding,"5,00,000",N/A
68,10/7/2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Funding,"15,00,00,000",N/A
69,11/7/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"6,00,00,000",N/A
70,10/7/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"1,60,00,000",N/A
71,10/7/2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"57,50,000",N/A
72,10/7/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"25,00,000",N/A
73,9/7/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"10,00,000",N/A
74,8/7/2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Funding,"3,19,605",N/A
75,5/6/2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000",N/A
76,4/6/2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000",N/A
77,3/6/2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",N/A,"48,89,975.54",N/A
78,3/6/2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000",N/A
79,4/6/2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,"7,50,00,000",N/A
80,4/6/2019,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,"2,60,00,000",N/A
81,3/6/2019,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,"25,00,000",N/A
82,6/6/2019,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",N/A,"27,39,034.68",N/A
83,6/6/2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,"2,60,00,000",N/A
84,6/6/2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,"1,51,09,500.00",N/A
85,10/6/2019,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,"4,30,200",N/A
86,10/6/2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,"1,55,00,000",N/A
87,6/6/2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,"5,20,00,000",N/A
88,8/6/2019,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,"35,84,000",N/A
89,4/6/2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,"34,00,000",N/A
90,6/5/2019,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,,N/A
91,6/5/2019,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,"8,68,600",N/A
92,5/5/2019,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,,N/A
93,1/5/2019,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,"15,00,00,000",N/A
94,2/5/2019,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,"5,00,00,000",N/A
95,5/28/2019,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,"5,10,00,000",N/A
96,5/28/2019,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Funding,"14,00,00,000",N/A
97,5/30/2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,"1,15,00,000",N/A
98,5/31/2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,"56,00,000",N/A
99,4/16/2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,"4,50,00,000",N/A
100,12/4/2019,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity Funding,"1,70,00,000",N/A
101,10/4/2019,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity Funding,"4,30,665",N/A
102,4/13/2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,"35,91,375",N/A
103,12/4/2019,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,"2,00,000",N/A
104,11/4/2019,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,"35,00,000",N/A
105,10/4/2019,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt Funding,"63,20,820",N/A
106,10/4/2019,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,"24,43,495",N/A
107,10/4/2019,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Angel / Seed Funding,"3,07,000",N/A
108,11/4/2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,"2,60,00,000",N/A
109,4/19/2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,"30,00,000",N/A
110,4/19/2019,KrazyBee,E-commerce,Lending Platform,Bengaluru,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,"14,342,000+",N/A
111,4/17/2019,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture ,"50,00,000",N/A
112,4/17/2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,"30,00,000",N/A
113,1/2/2019,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,,N/A
114,8/2/2019,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,"22,60,00,000",N/A
115,2/13/2019,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,"6,00,000",N/A
116,2/14/2018,OyoRooms,Hospitality,Budget Rooms,Gurgaon,DiDi Chuxing,Equity,"10,00,00,000",N/A
117,3/1/2019,CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,"11,00,00,000",N/A
118,4/1/2019,Vyome Therapeutics Inc.,Health and Wellness,Specialty pharmaceutical,India/US,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,"2,20,00,000",N/A
119,4/1/2019,Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt Funding,"50,00,000",N/A
120,4/12/2018,Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed Funding,"7,00,000",N/A
121,1/12/2018,UrbanClap Technologies Pvt. Ltd,Services Platform,Home services marketplace,New Delhi,Steadview Capital and Vy Capital.,Series D,"5,00,00,000",N/A
122,2/12/2018,Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,"8,00,000",N/A
123,2/12/2018,Career Anna,Online Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,"5,72,000",N/A
124,4/12/2018,Nagpur Wholesale,Online Marketplace,eCommerce,Nagpur,Omphalos Ventures India LLP,Seed Funding,"1,43,000",N/A
125,6/12/2018,ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed Funding,"20,00,000",N/A
126,6/12/2018,BuildSupply,"SaaS, Ecommerce","Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,"35,00,000",N/A
127,1/11/2018,GoDesi,Food and Beverage,Regional Flavours,Bengaluru,Lead Angels Network,Angel / Seed Funding,"1,38,995",N/A
128,3/11/2018,Veritas Finance Ltd.,NBFC,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,"2,77,99,000",N/A
129,6/11/2018,Meesho,Ecommerce,Social Commerce,Bengaluru,"Shunwei Capital, DST Partners and RPS Ventures",Series C,"5,00,00,000",N/A
130,8/11/2018,Mobile Premier League,Gaming,Mobile e-Sports,Bengaluru,Undisclosed,Series A,"5,00,000",N/A
131,8/11/2018,A&R Bon Vivants,Food,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Equity,"10,00,000",N/A
132,12/11/2018,Blackbuck,Food Tech,POS For Online Ordering,"New York, Bengaluru",Tiger Global,Series A,"10,00,000",N/A
133,12/11/2018,MilkBAsket,Food,Micro-delivery grocery service,New Delhi,Mayfield Fund,Series B,"13,00,000",N/A
134,11/13/2018,DriveU,Transport,On-Demand Drivers,Bengaluru,Stevens Creek Ventures,Mezzanine,"10,00,000",N/A
135,11/14/2018,CleanseCar,Services,Car Wash,Bengaluru,Venture Catalysts,Angel / Seed Funding,"5,00,000",N/A
136,11/19/2018,Automation Anywhere,Automation,Robotics,California,SoftBank Vision Fund,Series B,"30,00,00,000",N/A
137,11/20/2018,HealthifyMe,Health and Wellness,Wellness Coach,Bengaluru,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Series B (Extension),"60,00,000",N/A
138,11/21/2018,Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed Funding,"2,78,000",N/A
139,11/22/2018,Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Equity,"3,10,00,000",N/A
140,11/22/2018,Skillbox,Social Network,Art,Gurugram,Individual investors,Seed Funding,,N/A
141,11/23/2018,Signzy,Financial Tech,Digital Onboarding Solution,Mumbai/Bengaluru,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,"34,00,000",N/A
142,11/24/2018,Engineer.ai,Software,AI Platform,India/US,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,"2,95,00,000",N/A
143,11/25/2018,InCred Finance,Finance,SME Lending,India,"Paragon Partners, Individual Investors",Private Equity Funding,"4,20,00,000",N/A
144,11/25/2018,Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,"17,00,000",N/A
145,1/10/2018,Northmist,Fashion,Mens Wear,Delhi,Prashant Jaiswal,Angel / Seed Funding,,N/A
146,2/10/2018,Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Angel / Seed Funding,"1,10,00,000",N/A
147,4/10/2018,Grover Zampa,Food,Wine,Mumbai,Ravi Viswanathan,Private Equity Funding,"82,00,000",N/A
148,5/10/2018,Droom,Automobile,New and Used Cars Platform,Gurgaon,ZigExN,Series E,"30,00,000",N/A
149,11/10/2018,Innov8,Real Estate,Co-Working,New Delhi,Credence Family Office,Pre-Series A,"40,00,000",N/A
150,12/10/2018,Blackbuck,Logistics Tech,Largest Trucking Platform,Bengaluru,Sequoia Capital India,Private Equity Funding,"1,46,80,000",N/A
151,12/10/2018,LetsTransport,Logistics Tech,Book Trucks Online,Bengaluru,Fosun International,Series C,"1,20,00,000",N/A
152,1/9/2018,Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity Funding,"3,50,00,000",N/A
153,3/9/2018,Udaan,B2B Platform,Logistics and Shipping,Bengaluru,DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Private Equity Funding,"22,50,00,000",N/A
154,3/9/2018,Daily hunt,Consumer Internet,News and ebooks Mobile App,Bengaluru,Falcon Edge,Private Equity Funding,"63,90,000",N/A
155,4/9/2018,3HCare,Healthcare,Healthcare Service Provider,Delhi,N/A,Angel / Seed Funding,"10,00,000",N/A
156,4/9/2018,HappyGoEasy,Consumer Internet,Online Travel Agecy,Gurugram,"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others",Private Equity Funding,,N/A
157,5/9/2018,Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity Funding,"15,72,00,000",N/A
158,5/9/2018,Mad Street Den,Technology,Computer Vision And Artificial Intelligence (Ai) Platform,Chennai,KDDI,Private Equity Funding,,N/A
159,6/9/2018,Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity Funding,"10,00,00,000",N/A
160,10/9/2018,MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity Funding,"40,00,000",N/A
161,11/9/2018,AutoGrid,Technology,AI-Based Energy Optimisation and Control Provider,Bengaluru,"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska",Private Equity Funding,"3,20,00,000",N/A
162,11/9/2018,Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,"55,00,000",N/A
163,11/9/2018,Upwards,Fin-Tech,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity Funding,"50,00,000",N/A
164,12/9/2018,Kissht,Fin-Tech,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity Funding,"3,00,00,000",N/A
165,1/8/2018,dishq,Food-Tech,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bengaluru,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Angel / Seed Funding,"4,00,000",N/A
166,1/8/2018,HealthFin,Finance,Patient Financing Platform,Pune,"Axilor, Sprout Venture Partners and others",Angel / Seed Funding,,N/A
167,2/8/2018,Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity Funding,"70,00,000",N/A
168,3/8/2018,ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity Funding,"1,20,000",N/A
169,7/8/2018,My OmNamo,Consumer Internet,Holy Platform Offering Customised Puja Packages To Individuals and Corporates,Mumbai,N/A,Angel / Seed Funding,"10,00,000",N/A
170,7/8/2018,ShopX,Consumer Internet,Assisted E-commerce Platform,Bengaluru,Fung Strategic Holdings,Private Equity Funding,"3,50,00,000",N/A
171,7/8/2018,MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity Funding,"1,00,00,000",N/A
172,8/8/2018,Hansel io,Consumer Internet,Real-time Mobile App Management,Bengaluru,Vertex Ventures,Angel / Seed Funding,"40,00,000",N/A
173,8/8/2018,Metro Bikes,Consumer Internet,Online Bike Rental Marketplace,Bengaluru,"Sequoia Capital India Advisors, Accel Partners and G Raghunandan",Private Equity Funding,"1,22,00,000",N/A
174,8/8/2018,Phone Pe,Consumer Internet,UPI Payments App,Bengaluru,Flipkart,Private Equity Funding,"6,60,00,000",N/A
175,9/8/2018,quizizz,Ed-Tech,e-learning Platform,Bengaluru,"Nexus Venture Partners, Prime Venture Partners and Others",Angel / Seed Funding,"30,00,000",N/A
176,9/8/2018,Happy EMI,Fin-Tech,Consumer Financing Platform,Bengaluru,AJ Ventures and Jain International Trade Organisation (JITO),Angel / Seed Funding,"10,00,000",N/A
177,8/13/2018,Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Angel / Seed Funding,"40,00,000",N/A
178,8/13/2018,Observe AI,Technology,AI Based Solutions Platform,Bengaluru,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity Funding,"80,00,000",N/A
179,8/16/2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahemadabad,N/A,Angel / Seed Funding,"1,14,811",N/A
180,8/17/2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity Funding,"58,50,000",N/A
181,8/20/2018,Finzy,Finance,Online Loan Matchmaking Platform,Bengaluru,N/A,Angel / Seed Funding,"10,00,000",N/A
182,8/20/2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,"48,00,000",N/A
183,8/22/2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focusedPlatform,Bengaluru,CDC Group plc,Private Equity Funding,"60,00,000",N/A
184,8/22/2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity Funding,"1,42,70,000",N/A
185,8/26/2018,ZestMoney,Consumer Internet,Online Lending Platform,Bengaluru,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity Funding,"1,34,00,000",N/A
186,8/26/2018,Shubh Loans,Fin-Tech,Customer Sourcing Platform,Bengaluru,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity Funding,"42,00,000",N/A
187,8/27/2018,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity Funding,"50,00,000",N/A
188,8/28/2018,Narvar,IT,Post-Purchase Customer Engagement Platform,Bengaluru,Accel (formerly known as Accel Partners),Private Equity Funding,"30,00,000",N/A
