Sl No.,Date,Startup Name,Industry Category,Sub-Category,City  Location,Investors Name,Investment Type,Amount in USD,Remarks
2539,8/19/2015,Fashionove,Fashion Search & Review Platform,N/A,Kolkata,Umesh Yadav,Seed Funding,,N/A
2540,8/19/2015,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",N/A,Mumbai,Unilazer Ventures,Private Equity Funding,"24,00,000",N/A
2541,8/19/2015,Envoged,pre-owned Luxury online apparel seller,N/A,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",Seed Funding,,N/A
2542,8/19/2015,MebelKart,Online Furniture Marketplace,N/A,Bangalore,AskMe,Private Equity Funding,"2,00,00,000",N/A
2543,8/20/2015,LabsAdvisor,Online Diagnostic Tests Marketplace,N/A,New Delhi,Group of Angel Investors,Seed Funding,"1,56,000",N/A
2544,8/20/2015,Flatpebble,Online marketplace for Photographers,N/A,Hyderabad,Indian Angel Network,Seed Funding,"6,00,000",N/A
2545,8/20/2015,Bluegape.com,Visual Blogging platform,N/A,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,"6,00,000",N/A
2546,8/21/2015,ePoise,Job Search Platform,N/A,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,"5,00,000",N/A
2547,8/24/2015,Jolly Food Fellow,Food Customer analytics platform,N/A,Ahmedabad,The 1947,Seed Funding,"3,00,000",N/A
2548,8/24/2015,BookMeIn,Professional Service Appointment booking service,N/A,Mumbai,Ajmera Group of Companies,Seed Funding,"4,00,000",N/A
2549,8/24/2015,iZofy,Scientific Horoscope Online Assistance platform,N/A,Kolkata,Prime Capital Markets Ltd,Seed Funding,,N/A
2550,8/24/2015,rBus,Tech enabled AC bus service,N/A,Mumbai,"India Quotient, Anupam Mittal & others",Seed Funding,,N/A
2551,8/25/2015,Qyk App,On-Demand App based Professional service provider,N/A,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity Funding,"10,00,000",pre-series A
2552,8/25/2015,EazyDiner,Restaurant Reservation Platform,N/A,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity Funding,"30,00,000",Series A
2553,8/25/2015,RevX,Cross-channel CRM platform,N/A,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity Funding,"40,00,000",Series A
2554,8/25/2015,ICustomMadeIt,Professional Custom creators Marketplace,N/A,Pune,Group of Angel Investors,Seed Funding,"2,50,000",N/A
2555,8/26/2015,PickMyLaundry,on-Demand Washing & Dry-Cleaning,N/A,New Delhi,GHV Accelerator,Seed Funding,"1,00,000",N/A
2556,8/26/2015,Belita,On-Demand Beauty Service,N/A,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,"4,00,000",N/A
2557,8/26/2015,EzySolare,solar products and services marketplace,N/A,Ahmedabad,Infuse Ventures,Seed Funding,,N/A
2558,8/26/2015,FoodTalkIndia,Online Food Community Platform,N/A,Gurgaon,Undisclosed Investor,Seed Funding,"5,00,000",N/A
2559,8/27/2015,InstaSafe,Private Cloud Networks SAAS platform,N/A,Bangalore,Group of Investors,Seed Funding,,N/A
2560,8/27/2015,Eazy Coach,Education Marketplace,N/A,Kolkata,Ravi Agarwal,Seed Funding,,N/A
